product_name,categories_tags,countries_en,ingredients_text,additives_tags
Steamable California Blend With Cheese Sauce,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:frozen-foods,en:frozen-plant-based-foods,en:frozen-vegetables",United States,"Broccoli, cauliflower, carrots, water, contains less than 2% of: annatto (vegetable color), butter oil, canola oil, cheddar cheese (pasteurized milk, cheese culture, salt, enzymes), cornstarch, cream, gelatin, lactic acid, maltodextrin, monterey jack cheese (pasteurized milk, cheese culture, salt, enzymes), natural flavor, palm oil, paprika (color), romano cheese (pasteurized cow's milk, cheese culture, salt, enzymes), salt, sodium alginate, sodium phosphate, soy lecithin, soybean oil, starter distillate, sugar, whey, whey protein concentrate, xanthan gum, yeast extract.","en:e160b,en:e270,en:e322,en:e322i,en:e401,en:e415,en:e428"
Steamable Broccoli With Cheese Sauce,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetables-based-foods,en:frozen-foods,en:frozen-plant-based-foods,en:frozen-vegetables",United States,"Broccoli, water, contains less than 2% of: annatto (vegetable color), butter oil, canola oil, cheddar cheese (pasteurized milk cheese culture, salt, enzymes), cornstarch, cream, gelatin, lactic acid, maltodextrin, monterey jack cheese (pasteurized milk, cheese culture, salt, enzymes), natural flavor, palm oil, paprika (color), romano cheese (pasteurized cow's milk, cheese culture, salt, enzymes), salt, sodium alginate, sodium phosphate, soy lecithin, soybean oil, starter distillate, sugar, whey, whey protein concentrate, xanthan gum, yeast extract.","en:e160b,en:e270,en:e322,en:e322i,en:e401,en:e415,en:e428"
Raw shrimp,"en:seafood,en:frozen-foods,en:frozen-seafood",United States,"Uncooked shrimp, sodium tripolyphosphate (for moisture retention), salt.","en:e452,en:e452vi"
"Cherry vanilla ice cream, cherry vanilla","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Skim milk, cream, corn syrup, high fructose corn syrup, black cherries (cherries, water, corn syrup, sugar, citric acid, sodium benzoate and potassium sorbate [preservatives], natural flavors, red 40, blue 1, sulfites), sugar, whey, contains 2% or less of mono - and diglycerides, guar gum, calcium sulfate, locust bean gum, carrageenan, artificial vanilla flavor, annatto color.","en:e129,en:e133,en:e202,en:e211,en:e330,en:e407,en:e410,en:e412,en:e471"
"Butter pecan ice cream with pecan pieces, butter pecan","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Skim milk, cream, corn syrup, high fructose corn syrup, sugar, pecan pieces (roasted in cottonseed oil, butter, salt), whey, contains 2% or less of mono - and diglycerides, guar gum, calcium sulfate, locust bean gum, carrageenan, natural flavors, caramel color.","en:e150c,en:e407,en:e410,en:e412,en:e471"
"Orange sherbet, orange","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Water, corn syrup, skim milk, high fructose corn syrup, sugar, cream, whey, orange flavor (orange juice concentrate, citric acid, natural flavors, yellow 6, red 40), contains 2% or less of locust bean gum, mono - and diglycerides, modified cellulose, guar","en:e110,en:e129,en:e330,en:e410,en:e460,en:e471"
"Rainbow sherbet, rainbow","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Water, corn syrup, skim milk, high fructose corn syrup, sugar, cream, whey, raspberry flavor (raspberry juice concentrate, citric acid, natural and artificial flavors, red 40, blue 1), orange flavor (orange juice concentrate, citric acid, natural flavors","en:e129,en:e133,en:e330"
"Orange vanilla ice cream, orange vanilla","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Skim milk, water, corn syrup, cream, high fructose corn syrup, sugar, whey, orange flavor (orange juice concentrate, citric acid, natural flavors, yellow 6, red 40), contains 2% or less of locust bean gum, mono - and diglycerides, modified cellulose, guar gum, polysorbate 80, calcium sulfate, carrageenan, artificial vanilla flavor, annatto color.","en:e110,en:e129,en:e330,en:e407,en:e410,en:e412,en:e433,en:e460,en:e471"
"Vanilla, chocolate & strawberry ice cream, vanilla, chocolate & strawberry","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Skim milk, cream, corn syrup, high fructose corn syrup, sugar, whey, cocoa (processed with alkali), contains 2% or less of mono - and diglycerides, guar gum, calcium sulfate, locust bean gum, carrageenan, natural and artificial flavor, artificial vanilla f","en:e407,en:e410,en:e412,en:e471,en:e516"
"Vanilla ice cream, vanilla","en:desserts,en:frozen-foods,en:frozen-desserts",United States,"Skim milk, cream, corn syrup, high fructose corn syrup, sugar, whey, contains 2% or less of mono - and diglycerides, guar gum, calcium sulfate, locust bean gum, carrageenan, artificial vanilla flavor, annatto color.","en:e407,en:e410,en:e412,en:e471"
